Survived,Pclass,Age,Fare,Family,Is_alone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Name_Info_Master.,Name_Info_Miss.,Name_Info_Mr.,Name_Info_Mrs.,Name_Info_Other.
0,3,22,7,1,1,0,1,0,0,1,0,0,1,0,0
1,1,38,71,1,1,1,0,1,0,0,0,0,0,1,0
1,3,26,7,0,0,1,0,0,0,1,0,1,0,0,0
1,1,35,53,1,1,1,0,0,0,1,0,0,0,1,0
0,3,35,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,1,0,0,0,1,0,0
0,1,54,51,0,0,0,1,0,0,1,0,0,1,0,0
0,3,2,21,4,1,0,1,0,0,1,1,0,0,0,0
1,3,27,11,2,1,1,0,0,0,1,0,0,0,1,0
1,2,14,30,1,1,1,0,1,0,0,0,0,0,1,0
1,3,4,16,2,1,1,0,0,0,1,0,1,0,0,0
1,1,58,26,0,0,1,0,0,0,1,0,1,0,0,0
0,3,20,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,39,31,6,1,0,1,0,0,1,0,0,1,0,0
0,3,14,7,0,0,1,0,0,0,1,0,1,0,0,0
1,2,55,16,0,0,1,0,0,0,1,0,0,0,1,0
0,3,2,29,5,1,0,1,0,1,0,1,0,0,0,0
1,2,29,13,0,0,0,1,0,0,1,0,0,1,0,0
0,3,31,18,1,1,1,0,0,0,1,0,0,0,1,0
1,3,29,7,0,0,1,0,1,0,0,0,0,0,1,0
0,2,35,26,0,0,0,1,0,0,1,0,0,1,0,0
1,2,34,13,0,0,0,1,0,0,1,0,0,1,0,0
1,3,15,8,0,0,1,0,0,1,0,0,1,0,0,0
1,1,28,35,0,0,0,1,0,0,1,0,0,1,0,0
0,3,8,21,4,1,1,0,0,0,1,0,1,0,0,0
1,3,38,31,6,1,1,0,0,0,1,0,0,0,1,0
0,3,29,7,0,0,0,1,1,0,0,0,0,1,0,0
0,1,19,263,5,1,0,1,0,0,1,0,0,1,0,0
1,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,1,40,27,0,0,0,1,1,0,0,0,0,0,0,1
1,1,29,146,1,1,1,0,1,0,0,0,0,0,1,0
1,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
0,2,66,10,0,0,0,1,0,0,1,0,0,1,0,0
0,1,28,82,1,1,0,1,1,0,0,0,0,1,0,0
0,1,42,52,1,1,0,1,0,0,1,0,0,1,0,0
1,3,29,7,0,0,0,1,1,0,0,0,0,1,0,0
0,3,21,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,18,18,2,1,1,0,0,0,1,0,1,0,0,0
1,3,14,11,1,1,1,0,1,0,0,0,1,0,0,0
0,3,40,9,1,1,1,0,0,0,1,0,0,0,1,0
0,2,27,21,1,1,1,0,0,0,1,0,0,0,1,0
0,3,29,7,0,0,0,1,1,0,0,0,0,1,0,0
1,2,3,41,3,1,1,0,1,0,0,0,1,0,0,0
1,3,19,7,0,0,1,0,0,1,0,0,1,0,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,15,1,1,0,1,0,1,0,0,0,1,0,0
1,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
0,3,29,21,2,1,0,1,1,0,0,0,0,1,0,0
0,3,18,17,1,1,1,0,0,0,1,0,0,0,1,0
0,3,7,39,5,1,0,1,0,0,1,1,0,0,0,0
0,3,21,7,0,0,0,1,0,0,1,0,0,1,0,0
1,1,49,76,1,1,1,0,1,0,0,0,0,0,1,0
1,2,29,26,1,1,1,0,0,0,1,0,0,0,1,0
0,1,65,61,1,1,0,1,1,0,0,0,0,1,0,0
1,1,29,35,0,0,0,1,0,0,1,0,0,1,0,0
1,2,21,10,0,0,1,0,0,0,1,0,1,0,0,0
0,3,28,7,0,0,0,1,1,0,0,0,0,1,0,0
1,2,5,27,3,1,1,0,0,0,1,0,1,0,0,0
0,3,11,46,7,1,0,1,0,0,1,1,0,0,0,0
0,3,22,7,0,0,0,1,1,0,0,0,0,1,0,0
1,1,38,80,0,0,1,0,0,0,1,0,1,0,0,0
0,1,45,83,1,1,0,1,0,0,1,0,0,1,0,0
0,3,4,27,5,1,0,1,0,0,1,1,0,0,0,0
0,1,29,27,0,0,0,1,1,0,0,0,0,1,0,0
1,3,29,15,2,1,0,1,1,0,0,1,0,0,0,0
1,2,29,10,0,0,1,0,0,0,1,0,0,0,1,0
0,3,19,8,0,0,0,1,0,0,1,0,0,1,0,0
1,3,17,7,6,1,1,0,0,0,1,0,1,0,0,0
0,3,26,8,2,1,0,1,0,0,1,0,0,1,0,0
0,2,32,10,0,0,0,1,0,0,1,0,0,1,0,0
0,3,16,46,7,1,1,0,0,0,1,0,1,0,0,0
0,2,21,73,0,0,0,1,0,0,1,0,0,1,0,0
0,3,26,14,1,1,0,1,1,0,0,0,0,1,0,0
1,3,32,56,0,0,0,1,0,0,1,0,0,1,0,0
0,3,25,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
1,2,0,29,2,1,0,1,0,0,1,1,0,0,0,0
1,3,30,12,0,0,1,0,0,0,1,0,1,0,0,0
0,3,22,9,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29,9,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
0,1,28,47,0,0,0,1,0,0,1,0,0,1,0,0
1,2,17,10,0,0,1,0,0,0,1,0,1,0,0,0
1,3,33,15,3,1,1,0,0,0,1,0,0,0,1,0
0,3,16,34,4,1,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
1,1,23,263,5,1,1,0,0,0,1,0,1,0,0,0
0,3,24,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,20,7,0,0,0,1,0,0,1,0,0,1,0,0
0,1,46,61,1,1,0,1,0,0,1,0,0,1,0,0
0,3,26,20,3,1,0,1,0,0,1,0,0,1,0,0
0,3,59,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
0,1,71,34,0,0,0,1,1,0,0,0,0,1,0,0
1,1,23,63,1,1,0,1,1,0,0,0,0,1,0,0
1,2,34,23,1,1,1,0,0,0,1,0,0,0,1,0
0,2,34,26,1,1,0,1,0,0,1,0,0,1,0,0
0,3,28,7,0,0,1,0,0,0,1,0,1,0,0,0
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,1,21,77,1,1,0,1,0,0,1,0,0,1,0,0
0,3,33,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,37,7,2,1,0,1,0,0,1,0,0,1,0,0
0,3,28,7,0,0,0,1,0,0,1,0,0,1,0,0
1,3,21,7,0,0,1,0,0,0,1,0,1,0,0,0
1,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,38,7,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29,24,1,1,1,0,0,1,0,0,1,0,0,0
0,1,47,52,0,0,0,1,0,0,1,0,0,1,0,0
0,3,14,14,1,1,1,0,1,0,0,0,1,0,0,0
0,3,22,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,20,9,1,1,1,0,0,0,1,0,1,0,0,0
0,3,17,14,0,0,1,0,1,0,0,0,1,0,0,0
0,3,21,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,70,7,0,0,0,1,0,1,0,0,0,1,0,0
0,2,29,21,1,1,0,1,0,0,1,0,0,1,0,0
0,1,24,247,1,1,0,1,1,0,0,0,0,1,0,0
0,3,2,31,6,1,1,0,0,0,1,0,1,0,0,0
0,2,21,73,2,1,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
0,2,32,30,1,1,0,1,1,0,0,0,0,1,0,0
1,2,32,13,0,0,1,0,0,0,1,0,1,0,0,0
0,1,54,77,1,1,0,1,0,0,1,0,0,1,0,0
1,3,12,11,1,1,0,1,1,0,0,1,0,0,0,0
0,3,29,7,0,0,0,1,0,1,0,0,0,1,0,0
1,3,24,7,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29,22,2,1,1,0,1,0,0,0,1,0,0,0
0,3,45,6,0,0,0,1,0,0,1,0,0,1,0,0
0,3,33,7,0,0,0,1,1,0,0,0,0,1,0,0
0,3,20,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,47,14,1,1,1,0,0,0,1,0,0,0,1,0
1,2,29,26,1,1,1,0,0,0,1,0,0,0,1,0
0,2,25,13,0,0,0,1,0,0,1,0,0,1,0,0
0,2,23,15,0,0,0,1,1,0,0,0,0,1,0,0
1,1,19,26,2,1,1,0,0,0,1,0,1,0,0,0
0,1,37,53,1,1,0,1,0,0,1,0,0,1,0,0
0,3,16,9,0,0,0,1,0,0,1,0,0,1,0,0
0,1,24,79,0,0,0,1,1,0,0,0,0,1,0,0
0,3,29,15,2,1,1,0,1,0,0,0,0,0,1,0
1,3,22,7,0,0,1,0,0,0,1,0,1,0,0,0
1,3,24,15,1,1,1,0,0,0,1,0,0,0,1,0
0,3,19,6,0,0,0,1,0,1,0,0,0,1,0,0
0,2,18,11,0,0,0,1,0,0,1,0,0,1,0,0
0,2,19,36,2,1,0,1,0,0,1,0,0,1,0,0
1,3,27,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,9,34,4,1,1,0,0,0,1,0,1,0,0,0
0,2,36,26,2,1,0,1,0,0,1,0,0,1,0,0
0,2,42,13,0,0,0,1,0,0,1,0,0,0,0,1
0,2,51,12,0,0,0,1,0,0,1,0,0,0,0,1
1,1,22,66,1,1,1,0,0,0,1,0,0,0,1,0
0,3,55,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,40,14,2,1,0,1,0,0,1,0,0,1,0,0
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,1,51,61,1,1,0,1,1,0,0,0,0,1,0,0
1,3,16,7,0,0,1,0,0,1,0,0,1,0,0,0
0,3,30,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,69,10,1,0,1,0,0,1,1,0,0,0,0
0,3,44,16,1,1,0,1,0,0,1,0,0,1,0,0
1,2,40,15,0,0,1,0,0,0,1,0,0,0,1,0
0,3,26,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,17,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,1,39,5,1,0,1,0,0,1,1,0,0,0,0
1,3,9,20,2,1,0,1,0,0,1,1,0,0,0,0
1,1,29,55,1,1,1,0,0,0,1,0,0,0,1,0
0,3,45,27,5,1,1,0,0,0,1,0,0,0,1,0
0,1,29,25,0,0,0,1,0,0,1,0,0,1,0,0
0,3,28,56,0,0,0,1,0,0,1,0,0,1,0,0
0,1,61,33,0,0,0,1,0,0,1,0,0,1,0,0
0,3,4,29,5,1,0,1,0,1,0,1,0,0,0,0
1,3,1,11,2,1,1,0,0,0,1,0,1,0,0,0
0,3,21,7,0,0,0,1,0,0,1,0,0,1,0,0
0,1,56,30,0,0,0,1,1,0,0,0,0,1,0,0
0,3,18,7,2,1,0,1,0,0,1,0,0,1,0,0
0,3,29,25,4,1,0,1,0,0,1,1,0,0,0,0
0,1,50,28,0,0,1,0,1,0,0,0,1,0,0,0
0,2,30,13,0,0,0,1,0,0,1,0,0,1,0,0
0,3,36,0,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,69,10,1,1,0,0,0,1,0,1,0,0,0
0,2,29,15,0,0,0,1,1,0,0,0,0,1,0,0
0,3,9,31,6,1,0,1,0,0,1,1,0,0,0,0
1,2,1,39,3,1,0,1,0,0,1,1,0,0,0,0
1,3,4,22,2,1,1,0,0,0,1,0,1,0,0,0
0,1,29,50,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29,15,1,1,1,0,0,1,0,0,0,0,1,0
1,1,45,26,0,0,0,1,0,0,1,0,0,1,0,0
0,3,40,15,2,1,0,1,0,1,0,0,0,1,0,0
0,3,36,7,0,0,0,1,0,0,1,0,0,1,0,0
1,2,32,13,0,0,1,0,0,0,1,0,0,0,1,0
0,2,19,13,0,0,0,1,0,0,1,0,0,1,0,0
1,3,19,7,1,1,1,0,0,0,1,0,1,0,0,0
1,2,3,26,2,1,0,1,0,0,1,1,0,0,0,0
1,1,44,27,0,0,1,0,1,0,0,0,0,0,1,0
1,1,58,146,0,0,1,0,1,0,0,0,1,0,0,0
0,3,29,7,0,0,0,1,0,1,0,0,0,1,0,0
0,3,42,8,1,1,0,1,0,0,1,0,0,1,0,0
1,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
0,2,24,13,0,0,1,0,0,0,1,0,1,0,0,0
0,3,28,9,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,69,10,1,0,1,0,0,1,0,0,1,0,0
0,3,34,6,0,0,0,1,0,0,1,0,0,1,0,0
0,3,45,7,0,0,0,1,1,0,0,0,0,1,0,0
1,3,18,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,2,10,1,1,1,0,0,0,1,0,1,0,0,0
0,3,32,15,1,1,0,1,0,0,1,0,0,1,0,0
1,3,26,18,0,0,0,1,1,0,0,0,0,1,0,0
1,3,16,7,0,0,1,0,0,1,0,0,1,0,0,0
1,1,40,31,0,0,0,1,1,0,0,0,0,1,0,0
0,3,24,7,0,0,0,1,0,0,1,0,0,1,0,0
1,2,35,21,0,0,1,0,0,0,1,0,1,0,0,0
0,3,22,7,0,0,0,1,0,0,1,0,0,1,0,0
0,2,30,13,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,7,1,1,0,1,0,1,0,0,0,1,0,0
1,1,31,113,1,1,1,0,1,0,0,0,1,0,0,0
1,3,27,7,0,0,1,0,0,0,1,0,1,0,0,0
0,2,42,27,1,1,0,1,0,0,1,0,0,1,0,0
1,1,32,76,0,0,1,0,1,0,0,0,1,0,0,0
0,2,30,10,0,0,0,1,0,0,1,0,0,1,0,0
1,3,16,8,0,0,0,1,0,0,1,0,0,1,0,0
0,2,27,13,0,0,0,1,0,0,1,0,0,1,0,0
0,3,51,8,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
1,1,38,90,1,1,0,1,0,0,1,0,0,1,0,0
0,3,22,9,0,0,0,1,0,0,1,0,0,1,0,0
1,2,19,10,0,0,0,1,0,0,1,0,0,1,0,0
0,3,20,7,0,0,0,1,0,0,1,0,0,1,0,0
0,2,18,13,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,25,4,1,1,0,0,0,1,0,1,0,0,0
1,1,35,83,1,1,1,0,0,0,1,0,0,0,1,0
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,2,59,13,0,0,0,1,0,0,1,0,0,1,0,0
1,3,5,31,6,1,1,0,0,0,1,0,1,0,0,0
0,2,24,10,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,7,0,0,1,0,0,0,1,0,1,0,0,0
0,2,44,26,1,1,0,1,0,0,1,0,0,1,0,0
1,2,8,26,2,1,1,0,0,0,1,0,1,0,0,0
0,2,19,10,0,0,0,1,0,0,1,0,0,1,0,0
0,2,33,12,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,14,1,1,1,0,1,0,0,0,1,0,0,0
1,3,29,15,1,1,1,0,0,1,0,0,1,0,0,0
0,2,29,10,0,0,0,1,0,0,1,0,0,1,0,0
0,3,22,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,30,7,0,0,0,1,1,0,0,0,0,1,0,0
0,1,44,90,2,1,0,1,0,1,0,0,0,0,0,1
0,3,25,7,0,0,1,0,0,0,1,0,1,0,0,0
1,2,24,14,2,1,1,0,0,0,1,0,0,0,1,0
1,1,37,52,2,1,0,1,0,0,1,0,0,1,0,0
0,2,54,26,1,1,0,1,0,0,1,0,0,0,0,1
0,3,29,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,10,2,1,1,0,0,0,1,0,0,0,1,0
0,1,62,26,0,0,0,1,0,0,1,0,0,1,0,0
0,3,30,16,1,1,0,1,0,0,1,0,0,1,0,0
0,3,41,20,2,1,1,0,0,0,1,0,0,0,1,0
1,3,29,15,2,1,1,0,1,0,0,0,0,0,1,0
1,1,29,79,0,0,1,0,1,0,0,0,0,0,1,0
1,1,30,86,0,0,1,0,0,0,1,0,1,0,0,0
1,1,35,512,0,0,1,0,1,0,0,0,1,0,0,0
1,2,50,26,1,1,1,0,0,0,1,0,0,0,1,0
0,3,29,7,0,0,0,1,0,1,0,0,0,1,0,0
1,3,3,31,6,1,0,1,0,0,1,1,0,0,0,0
0,1,52,79,2,1,0,1,0,0,1,0,0,1,0,0
0,1,40,0,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
0,2,36,10,0,0,0,1,0,0,1,0,0,1,0,0
0,3,16,39,5,1,0,1,0,0,1,0,0,1,0,0
1,3,25,7,1,1,0,1,0,0,1,0,0,1,0,0
1,1,58,153,1,1,1,0,0,0,1,0,0,0,1,0
1,1,35,135,0,0,1,0,0,0,1,0,1,0,0,0
0,1,29,31,0,0,0,1,0,0,1,0,0,1,0,0
1,3,25,0,0,0,0,1,0,0,1,0,0,1,0,0
1,2,41,19,1,1,1,0,0,0,1,0,0,0,1,0
0,1,37,29,1,1,0,1,1,0,0,0,0,1,0,0
1,3,29,7,0,0,1,0,0,1,0,0,1,0,0,0
1,1,63,77,1,1,1,0,0,0,1,0,1,0,0,0
0,3,45,7,0,0,1,0,0,0,1,0,1,0,0,0
0,2,29,0,0,0,0,1,0,0,1,0,0,1,0,0
0,3,7,29,5,1,0,1,0,1,0,1,0,0,0,0
1,3,35,20,2,1,1,0,0,0,1,0,0,0,1,0
0,3,65,7,0,0,0,1,0,1,0,0,0,1,0,0
0,3,28,7,0,0,0,1,0,0,1,0,0,1,0,0
0,3,16,9,0,0,0,1,0,0,1,0,0,1,0,0
1,3,19,8,0,0,0,1,0,0,1,0,0,1,0,0
0,1,29,26,0,0,0,1,0,0,1,0,0,1,0,0
0,3,33,8,0,0,0,1,1,0,0,0,0,1,0,0
1,3,30,9,0,0,0,1,0,0,1,0,0,1,0,0
0,3,22,7,0,0,0,1,0,0,1,0,0,1,0,0
1,2,42,13,0,0,0,1,0,0,1,0,0,1,0,0
1,3,22,7,0,0,1,0,0,1,0,0,1,0,0,0
1,1,26,78,0,0,1,0,0,0,1,0,1,0,0,0
1,1,19,91,1,1,1,0,1,0,0,0,0,0,1,0
0,2,36,12,0,0,0,1,1,0,0,0,0,1,0,0
